,,,,,Score,Score,Score,Score,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
1,1,2022-10-18,,PHI,W,126,117,,127.7,118.6,98.7,.341,.427,.668,53.7,52.2,8.1,6.5,.634,10.4,18.2,.268,.581,13.2,11.8,.300
2,2,2022-10-21,@,MIA,W,111,104,,119.5,111.9,92.9,.190,.418,.648,54.4,41.5,4.3,16.7,.608,18.9,32.4,.190,.500,9.2,26.2,.130
3,3,2022-10-22,@,ORL,W,126,120,,128.4,122.3,98.1,.322,.540,.634,43.5,57.1,5.1,9.8,.592,7.5,16.3,.264,.553,7.9,28.6,.158
4,4,2022-10-24,@,CHI,L,102,120,,103.2,121.4,98.8,.120,.480,.484,42.9,70.3,5.1,10.6,.460,9.5,23.3,.100,.540,12.3,31.1,.299
5,5,2022-10-28,,CLE,L,123,132,OT,114.9,123.3,97.0,.390,.402,.640,44.7,66.7,8.4,3.8,.591,16.5,13.2,.317,.609,13.6,23.7,.299
6,6,2022-10-30,,WAS,W,112,94,,115.3,96.8,97.1,.253,.595,.638,48.0,80.6,4.1,7.6,.589,13.8,10.0,.241,.423,8.7,25.9,.112
7,7,2022-11-02,@,CLE,L,113,114,OT,103.5,104.4,98.9,.290,.441,.539,50.5,68.4,4.6,14.8,.468,11.8,16.0,.280,.475,9.0,17.0,.190
8,8,2022-11-04,,CHI,W,123,119,,117.2,113.3,105.0,.470,.373,.614,51.3,58.5,4.8,12.7,.548,12.3,17.5,.386,.584,15.3,11.1,.265
9,9,2022-11-05,@,NYK,W,133,118,,138.1,122.6,96.3,.136,.580,.713,43.6,63.8,5.2,3.2,.688,12.2,20.0,.136,.572,12.6,31.6,.167
10,10,2022-11-07,@,MEM,W,109,106,,109.5,106.5,99.5,.341,.451,.578,50.0,68.4,5.0,12.8,.537,13.7,15.9,.256,.533,10.2,17.4,.099
11,11,2022-11-09,,DET,W,128,112,,128.5,112.5,99.6,.239,.523,.658,47.3,66.0,5.0,7.1,.636,11.8,19.5,.182,.455,8.6,30.0,.348
12,12,2022-11-11,,DEN,W,131,112,,140.2,119.8,93.5,.222,.411,.663,54.8,60.0,3.2,7.9,.644,6.6,27.0,.167,.522,5.6,23.4,.174
13,13,2022-11-12,@,DET,W,117,108,,120.2,111.0,97.3,.264,.527,.576,45.7,69.2,6.2,7.8,.527,6.4,18.8,.231,.506,12.5,25.0,.202
14,14,2022-11-14,,OKC,W,126,122,,111.7,108.1,112.8,.302,.385,.579,47.4,54.3,13.3,10.3,.531,11.4,19.6,.250,.536,15.7,21.7,.173
15,15,2022-11-16,@,ATL,W,126,101,,126.2,101.1,99.9,.114,.523,.682,52.1,60.4,4.0,11.6,.665,14.0,16.2,.102,.450,7.8,24.6,.099
16,16,2022-11-18,@,NOP,W,117,109,,120.9,112.6,96.8,.200,.541,.633,55.4,68.3,6.2,5.8,.600,15.5,26.8,.176,.569,12.3,16.7,.115
17,17,2022-11-21,@,CHI,L,107,121,,103.7,117.3,103.2,.195,.575,.566,42.7,73.7,2.9,6.7,.546,13.7,10.4,.138,.596,13.3,19.5,.169
18,18,2022-11-23,,DAL,W,125,112,,127.3,114.1,98.2,.250,.405,.670,52.1,64.4,4.1,7.8,.637,11.4,16.7,.214,.604,13.3,13.5,.159
19,19,2022-11-25,,SAC,W,122,104,,121.3,103.4,100.6,.325,.446,.643,45.8,65.9,8.9,11.8,.590,9.5,10.5,.289,.466,15.5,24.4,.264
20,20,2022-11-27,,WAS,W,130,121,,140.7,131.0,92.4,.325,.425,.711,56.7,56.8,2.2,9.3,.650,13.3,30.3,.325,.579,4.0,17.6,.317
21,21,2022-11-28,,CHO,W,140,105,,141.1,105.8,99.2,.075,.559,.729,51.3,72.7,10.1,8.8,.720,14.3,27.3,.065,.552,17.8,30.2,.116
22,22,2022-11-30,,MIA,W,134,121,,137.2,123.9,97.7,.277,.542,.720,56.2,69.6,7.2,0.0,.687,16.2,32.4,.241,.622,13.8,23.1,.100
23,23,2022-12-02,,MIA,L,116,120,OT,104.2,107.8,100.9,.322,.517,.584,49.0,65.0,5.4,3.0,.546,16.8,15.6,.241,.530,13.5,22.6,.129
24,24,2022-12-04,@,BRK,W,103,92,,106.8,95.4,96.4,.247,.469,.573,51.6,51.4,11.4,15.5,.525,15.9,19.0,.222,.458,13.8,21.6,.179
25,25,2022-12-05,@,TOR,W,116,110,,119.9,113.7,96.7,.233,.400,.584,51.6,61.4,6.2,5.3,.561,10.0,27.7,.167,.518,11.7,25.0,.259
26,26,2022-12-07,@,PHO,W,125,98,,118.7,93.1,105.3,.129,.446,.586,52.0,59.2,13.3,4.9,.564,10.9,23.4,.109,.441,15.1,23.6,.172
27,27,2022-12-10,@,GSW,L,107,123,,105.0,120.7,101.9,.299,.460,.543,42.4,44.7,7.9,11.3,.506,9.2,12.5,.218,.582,13.0,25.0,.174
28,28,2022-12-12,@,LAC,L,93,113,,97.3,118.2,95.6,.342,.513,.532,43.9,81.8,5.2,9.2,.493,14.6,12.5,.237,.544,9.2,26.2,.167
29,29,2022-12-13,@,LAL,W,122,118,OT,111.6,108.0,99.0,.154,.462,.549,51.0,58.7,5.5,3.1,.534,11.2,23.6,.106,.516,10.2,15.6,.237
30,30,2022-12-16,,ORL,L,109,117,,107.6,115.5,101.3,.405,.548,.551,41.8,48.6,8.9,20.7,.482,12.4,20.8,.333,.511,14.8,34.9,.264
31,31,2022-12-18,,ORL,L,92,95,,91.7,94.7,100.3,.236,.528,.468,54.0,71.0,7.0,12.3,.416,14.8,21.6,.202,.453,12.1,12.2,.198
32,32,2022-12-21,,IND,L,112,117,,110.7,115.7,101.2,.248,.406,.500,56.9,66.7,10.9,8.5,.450,13.2,41.7,.208,.561,12.1,24.5,.071
